Station_Name_Korean,Station_Name_English,Station_Code,Managing_Organization,Major_Basin_Code,Subbasin_Code,Observation_Start_Date,River_Name,Basin_Area,River_Width,Bed_Slope,River_Main_Junction_Distance,Watershed_Distance,Address,X_Coordinate,Y_Coordinate,Start_Systematic_Observation,End_Systematic_Observation,Start_Old_Observation,End_Old_Observation,Number_of_Records,Data_Quality_or_Completeness,Geometry,Longitude,Latitude
평창군(송정교),Pyeongchanggun(Songjeonggyo),1001602,환경부,한강,100108,42368,오대천,isnull,isnull,isnull,isnull,isnull,강원도 평창군 진부면 하진부리 송정교,336935,459417,201512,202301,201512,202301,1311.0,,POINT (336935 459417),128.54905843526163,37.62692653636684
태백시(무사교),Taebaeksi(Musagyo),1001603,한국수자원공사,한강,100101,38473,isnull,isnull,isnull,isnull,isnull,isnull,강원도 태백시 상사미동,376803,425838,201508,202301,201508,202301,2635.0,,POINT (376803 425838),128.99239845056795,37.31776670173596
송천1교,Song Cheon 1 Kyo,1001605,한국수력원자력,한강,100105,41608,송천,123.45,isnull,isnull,3.7,isnull,강원도 평창군 대관령면 횡계리,350849,464532,201311,202301,201311,202301,340.0,,POINT (350849 464532),128.70766652531083,37.67081513131281
삼척시(번천교),Samcheoksi(Bunchungyo),1001607,한국수자원공사,한강,100101,39022,isnull,isnull,isnull,isnull,isnull,isnull,강원도 삼척시 하장면 번천리 천375,376860,431330,201508,202301,201508,202301,2635.0,,POINT (376860 431330),128.99434982769978,37.36720999903908
삼척시(광동교),Samcheoksi(Gwangdonggyo),1001613,한국수자원공사,한강,100102,41365,isnull,isnull,isnull,isnull,isnull,isnull,강원도 삼척시 하장면 광동리 천261,372665,430594,201508,202301,201508,202301,2635.0,,POINT (372665 430594),128.94684928277422,37.361371715702106
삼척시(갈밭교),Samcheoksi(Galbatgyo),1001615,한국수자원공사,한강,100102,38473,isnull,isnull,isnull,isnull,isnull,isnull,강원도 삼척시 하장면 갈전리 천679-1000,369534,431980,201508,202301,201508,202301,2635.0,,POINT (369534 431980),128.91184340281345,37.37442956125829
정선군(송계교),Jeongseongun(Songgyegyo),1001620,환경부,한강,100103,22828,임계천,157.39,160,160,2.99,17.4,강원도 정선군 임계면 봉산리 송계교,363534,445463,197208,202301,196211,202301,2964.0,,POINT (363534 445463),128.84712413084816,37.49692548207198
정선군(혈천교),Jeongseongun(Hyulcheongyo),1001622,환경부,한강,100102,40493,골지천,284.7,isnull,isnull,0.41,isnull,강원도 정선군 임계면 낙천리 혈천교,363401,442191,201012,202301,201012,202301,3320.0,,POINT (363401 442191),128.84489553296223,37.46748356821758
정선군(송천교),Jeongseongun(Songcheongyo),1001625,환경부,한강,100106,39281,송천,349.5,isnull,isnull,2.17,isnull,강원도 정선군 여량면 유천리 송천교,352004,444289,200705,202301,200705,202301,3182.0,,POINT (352004 444289),128.7165575111604,37.48832035942424
정선군(제1여량교),Jeongseongun(Jeilyeoryanggyo),1001626,환경부,한강,100107,42368,골지천,isnull,isnull,isnull,isnull,isnull,강원도 정선군 여량면 여량리 제1여량교,352963,442949,201512,202301,201512,202301,1876.0,,POINT (352963 442949),128.72711802071876,37.47609430631493
정선군(남평대교),Jeongseongun(Nampyeongdaegyo),1001629,환경부,한강,100107,42368,골지천,isnull,isnull,isnull,isnull,isnull,강원도 정선군 북평면 남평리 남평대교,346297,439005,201512,202301,201512,202301,2030.0,,POINT (346297 439005),128.65100750131938,37.44165166049016
